Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0079773,"Lymphoma, T-Cell, Cutaneous",0.1,0.05,-0.05,0.002905500139002811,0.003114282050408643
C0080178,Spina Bifida,0.0,0.0,0.0,0.0006084508823927142,0.0008883156751434279
C0085110,Severe Combined Immunodeficiency,0.0,0.0,0.0,0.00038916373214024723,0.00043432699468477396
C0085129,Bronchial Hyperreactivity,0.1,0.1,0.0,0.002061354031737997,0.0022740705563883993
C0085207,Gestational Diabetes,0.0,0.0,0.0,0.0004555224237147232,0.0003326437190289302
C0085580,Essential Hypertension,0.0,0.0,0.0,0.00032712525910293035,0.000303096924994744
C0086445,Idiopathic Membranous Glomerulonephritis,0.0,0.0,0.0,0.0003672766850378266,0.0003918480571751002
C0086543,Cataract,0.0,0.0,0.0,0.00042611802991047277,0.0005300585207040744
C0087012,"Ataxia, Spinocerebellar",0.0,0.0,0.0,0.0009225408734860498,0.0006013821957572476
C0149721,Left Ventricular Hypertrophy,0.06666666666666667,0.03333333333333333,-0.03333333333333333,0.0027747454633913725,0.001707161637677818
C0149925,Small cell carcinoma of lung,0.1,0.1,0.0,0.0056630702498381685,0.005771799775251811
C0149931,Migraine Disorders,0.0,0.0,0.0,0.000360925284479094,0.00035714969085976617
C0151744,Myocardial Ischemia,0.02389705882352941,0.02426470588235294,0.0003676470588235316,0.0011239394112767282,0.0018348869291419073
C0151786,Muscle Weakness,0.01111111111111111,0.0,-0.01111111111111111,0.0004885481297393383,0.00034859905184679986
C0152013,Adenocarcinoma of lung (disorder),0.02,0.02,0.0,0.003939766692733157,0.0015280980825429402
C0162557,"Liver Failure, Acute",0.0,0.05,0.05,0.0010945573054265195,0.0020186444070815677
C0162666,Mitochondrial Encephalomyopathies,0.2,0.2,0.0,0.028637701702086703,0.007959972583852223
C0162671,MELAS Syndrome,0.8,0.7,-0.10000000000000009,0.02382847101665219,0.017295551219775277
C0162809,Kallmann Syndrome,0.0,0.0,0.0,0.00038529972335455494,0.0003636793442508911
C0162820,"Dermatitis, Allergic Contact",0.02857142857142857,0.02857142857142857,0.0,0.0024398244801089298,0.0032930559502016296
